DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
6111.11,710,43.067715,-89.400642,10951,0.0,0,WB Regent ns Park,608,0.0,0,1.22,0,0,0,"[-89.40063596807516, 43.06770705854805]"
93460.83,366,43.05412,-89.39551,10952,0.67,0,WB Olin fs Lowell,614,0.34,0,18.69,0,0,0,"[-89.39550397066587, 43.05411206043288]"
26452.64,102,43.042706,-89.378399,10953,3.34,0,EB Rusk ns Rimrock,619,3.04,0,5.29,0,0,0,"[-89.37839297654128, 43.042698061102044]"
108489.49,672,43.056365,-89.382039,10954,0.0,0,John Nolen fs Lakeside,621,0.0,0,21.7,0,0,0,"[-89.38203297405806, 43.056357059638934]"
29536.95,706,43.065527,-89.404126,10955,4.69,0,SB Mills ns Mound,624,1.67,0,5.91,0,0,0,"[-89.40411996725489, 43.06551905958038]"
89738.65,701,43.063425,-89.399943,10956,11.67,0,Washington fs Park,633,8.33,0,17.95,0,0,0,"[-89.39993696800674, 43.06341705905193]"
33769.32,218,43.045526,-89.391776,10957,4.01,0,NB Fisher ns Bram,643,3.71,0,6.75,0,0,0,"[-89.39176997291416, 43.045518062248725]"
556.34,649,43.046231,-89.373784,10958,0.0,0,SB John Nolen fs Rimrock,650,0.0,0,0.11,0,0,0,"[-89.37377797810832, 43.046223060364326]"
90757.79,896,43.070985,-89.385499,10959,0.0,0,WB Doty fs Henry,668,0.0,0,18.15,0,0,0,"[-89.38549297136974, 43.07097705708608]"
3937872.71,735,43.073347,-89.397955,10960,284.0,0,WB University fs Lake,670,261.29,0,787.57,0,0,0,"[-89.39794896743209, 43.07333905770558]"
42774.47,101,43.051777,-89.37957,10961,4.34,0,NB Olin fs John Nolen,674,1.69,0,8.55,0,0,0,"[-89.37956397561334, 43.051769060200805]"
191745.52,892,43.0749,-89.393054,10962,30.74,0,WB State ns Gilman,688,21.7,0,38.35,0,0,0,"[-89.39304796867786, 43.07489205742672]"
728986.24,420,43.073449,-89.41445,10963,54.52,0,WB University fs Breese,692,43.11,0,145.8,0,0,0,"[-89.4144439626217, 43.073441058314415]"
555.56,365,43.053737,-89.390313,10964,0.0,0,Gilson fs Olin,694,0.0,0,0.11,0,0,0,"[-89.39030697206891, 43.053729060519224]"
965921.21,80,43.07408,-89.406253,10965,2.33,0,SB Charter ns University,706,10.44,0,193.18,0,0,0,"[-89.40624696563978, 43.074072058096945]"
126556.27,648,43.044439,-89.393901,10966,13.67,0,Park fs Burr Oak,709,13.0,0,25.31,0,0,0,"[-89.39389497180092, 43.04443106189274]"
97997.83,727,43.069851,-89.390442,10967,1.7,0,SB Bassett fs Washington,710,2.67,0,19.6,0,0,0,"[-89.39043597028383, 43.069843057480256]"
45868.01,61,43.065293,-89.400583,10968,4.68,0,NB Park at Meriter,715,3.37,0,9.17,0,0,0,"[-89.40057696726012, 43.065285059015295]"
